title,author,type,audience,genre,faust_numbers,isbns,n_loans,top10k
Meter i sekundet,Stine Pilgaard,Bog,voksenmaterialer,samfundssatire,48121543;38647253;48859305,99123358263105763,67685,1
Hvor flodkrebsene synger,Delia Owens,Bog,voksenmaterialer,udviklingsromaner,47109353;39222353;47876729,99123305022705763;99122842896205763;99123801506205763,65332,2
Opløst,"Sara Blædel,Mads Peder Nordbo",Bog,voksenmaterialer,krimi,39190001,99124057498505763;99123870794905763,42045,3
Pigen under træet,Sara Blædel,Bog,voksenmaterialer,krimi,47051649;47606411,99123305384905763,42834,4
Den tavse enke,Sara Blædel,Bog,voksenmaterialer,krimi,48648762,,41387,5
Satans sommer,"Kim Faber,Janni Pedersen (f. 1968)",Bog,voksenmaterialer,"krimi,politiromaner",47678633;61745955;38339346,99123914999305763;99123440325405763;99123359184605763,40309,6
Natrium Chlorid,Jussi Adler-Olsen,Bog,voksenmaterialer,"krimi,politiromaner",39615495,,38080,7
Solsøsteren,Lucinda Riley,Bog,voksenmaterialer,slægtsromaner,46656172,99123897816505763,37515,8
Den forsvundne søster,Lucinda Riley,Bog,voksenmaterialer,slægtsromaner,38500775;135126209,99121919926705763;99123895807505763,39733,9
Tabita,Iben Mondrup,Bog,voksenmaterialer,samfundsskildringer,47548764;48596568,99123305429405763;991001020419803861,36941,10
Annas sang,Benjamin Koppel,Bog,voksenmaterialer,skønlitteratur,62591943;22216597;62799048,99124090981505763;99122982201005763,36614,11
Kvæler,"Kim Faber,Janni Pedersen (f. 1968)",Bog,voksenmaterialer,"krimi,politiromaner",39185474;134575174,,36198,12
Søstrene fra Thy,Maria Helleberg,Bog,voksenmaterialer,slægtsromaner,54189214;47700485,99123305660805763;99124111738105763,34611,13
Sallys far er langt ude i skoven,Thomas Brunstrøm,Billedbog,børnematerialer,sjove bøger,46670051,,34386,14
Sommerfugleværelset,Lucinda Riley,Bog,voksenmaterialer,slægtsromaner,47073367,,34304,15
Vinterland,"Kim Faber,Janni Pedersen (f. 1968)",Bog,voksenmaterialer,"krimi,politiromaner",46282736;48818161;46670779,99122911886105763;99122522788905763;99123520480205763,33869,16
Pigen fra det store hvide skib,"Jesper Bugge Kold,Mich Vraa",Bog,voksenmaterialer,historiske romaner,38609718;135063916,99123664483605763;99124146957005763,33445,17
Mysteriet i Genbrugsen,Anna Grue,Bog,voksenmaterialer,"krimi,kriminalsager",47684323;39067587,99123331906805763;99123801570205763,32666,18
Isola,Katrine Engberg,Bog,voksenmaterialer,"krimi,politiromaner",48648797;25897102;48984878,99123520472305763,31683,19
Sallys far har mandeinfluenza,Thomas Brunstrøm,Billedbog,børnematerialer,"løgnehistorier,sjove bøger",48671098,99123474430005763,31111,20
Vådeskud,Katrine Engberg,Bog,voksenmaterialer,"krimi,politiromaner",46897862;48344038,,30436,21
Hvide blomster,Sissel-Jo Gazan,Bog,voksenmaterialer,udviklingsromaner,48839703,99123485144605763;99123832538305763,30007,22
Mord på kostskolen,Lucinda Riley,Bog,voksenmaterialer,skønlitteratur,62199733,99124062330705763,29969,23
Nattens udyr,Michael Katz Krefeld,Bog,voksenmaterialer,krimi,48839797,,29764,24
Vand til blomster,Valérie Perrin,Bog,voksenmaterialer,"dagbøger,dannelsesromaner",61510141;135638838,,29737,25
Kvinde set fra ryggen,Jesper Wung-Sung,Bog,voksenmaterialer,"biografiske romaner,historiske romaner",38748424;61912398,99123742066605763,29729,26
Sallys far er en dårlig taber,Thomas Brunstrøm,Billedbog,børnematerialer,"løgnehistorier,sjove bøger",38380176,,29365,27
Offer 2117,Jussi Adler-Olsen,Bog,voksenmaterialer,"krimi,politiromaner",46272048;46926862,99122859739305763;99122988598905763,29454,28
Helenas hemmelighed,Lucinda Riley,Bog,voksenmaterialer,slægtsromaner,46411005;38484842,99123649357605763,28754,29
Skyggedanseren,Sara Omar,Bog,voksenmaterialer,samfundskritik,47385555;47606438;48976344;47720672,,31058,30
Sallys far bliver youtuber,Thomas Brunstrøm,Billedbog,børnematerialer,sjove bøger,39081253,99123792457505763,28393,31
Kaptajnen og Ann Barbara,Ida Jessen (f. 1964),Bog,voksenmaterialer,"historiske romaner,landliv",48888445;38656147;2627022,99123532513805763;9920911068705762;99123801941605763,28418,32
Det er de danske som flygter,"Lise Ringhof,Erik Valeur",Bog,voksenmaterialer,"historiske romaner,samfundsskildringer,slægtsromaner",48487327,99123456855705763;9920896968205762,27901,33
Som natten kender stjernerne,Elsebeth Egholm,Bog,voksenmaterialer,skønlitteratur,48488161,,27846,34
"Indtil vanvid, indtil døden",Kirsten Thorup,Bog,voksenmaterialer,skønlitteratur,47588529;62768037,99123331902705763;99123355219705763,27063,35
Rampen,Jesper Stein,Bog,voksenmaterialer,"biografiske romaner,udviklingsromaner",48839711;39322676;2627021,99123542594105763;99123820345405763,27053,36
Skytsengel,Michael Katz Krefeld,Bog,voksenmaterialer,krimi,47079888;61602054,99123313462105763,26762,37
Ræk mig stjernerne,Jojo Moyes,Bog,voksenmaterialer,skønlitteratur,46831438;38519743;39450666,99122777825705763,26189,38
En lykkelig slutning,Maren Uthaug,Bog,voksenmaterialer,slægtsromaner,47239893;2555464,99123304117005763,25705,39
Imperiet,Michael Katz Krefeld,Bog,voksenmaterialer,skønlitteratur,61383921;54198205;20759704;24967379;21783803,99122851306805763;99122311491505763;99122267252505763,25793,40
De syv søstre,Lucinda Riley,Bog,voksenmaterialer,slægtsromaner,52557240;53292968;46615743;05082587,99122333663305763;99121998114705763;99122716651305763;99122911812905763;99122344727705763,29378,41
Elins død,Sara Blædel,Bog,voksenmaterialer,krimi,134692448,,25231,42
Vinger af sølv,Camilla Läckberg,Bog,voksenmaterialer,"psykologisk thriller,spænding",48486789;61744428,,25014,43
Kvinderne fra Thy,Maria Helleberg,Bog,voksenmaterialer,"landliv,slægtsromaner",52673542;62616822;53231799,99124111753905763;99122537113305763,24937,44
Det gyldne bur,Camilla Läckberg,Bog,voksenmaterialer,"domestic noir,psykologisk thriller",46370678;27687490;48352111;28757204,99122500845205763;99122977283205763;99123419305805763,25316,45
Vildskud,Julie Hastrup,Bog,voksenmaterialer,"femikrimi,krimi",47763509;46733924;06162223;25755510;61744495;10337682,99122979497605763;99122792270705763;99123914743705763,25097,46
Frank vender hjem,Kristian Bang Foss,Bog,voksenmaterialer,skønlitteratur,46944569;47219043,99122808245505763;99124123659505763;99123304165605763,24114,47
Det brændende blad,Katrine Engberg,Bog,voksenmaterialer,krimi,134490012,,24004,48
Skyggeriget,,Bog,voksenmaterialer,,134015012;51914759,,23961,49
Jeg kan se dig,Mari Jungstedt,Bog,voksenmaterialer,"krimi,politiromaner",48295622;61458476,99123890705005763,23858,50
Barnet fra Thy,Maria Helleberg,Bog,voksenmaterialer,slægtsromaner,61586725,99123904235805763;99124061322305763,23843,51
Den røde glente,Elsebeth Egholm,Bog,voksenmaterialer,skønlitteratur,62356456,99124060228605763,23639,52
Polarcirklen,Liza Marklund,Bog,voksenmaterialer,krimi,61473297,,23120,53
Kongeriget,Jo Nesbø,Bog,voksenmaterialer,spænding,48486762;23769999,,23093,54
Lenins bodyguard,Leif Davidsen,Bog,voksenmaterialer,skønlitteratur,62208066,99124056849505763,23056,55
Mørket kalder,Michael Katz Krefeld,Bog,voksenmaterialer,krimi,54945094;47472636,,23075,56
Tre dage i april,"Jesper Bugge Kold,Mich Vraa",Bog,voksenmaterialer,skønlitteratur,62267054;136202804,99124074671405763,22850,57
"Den, der lever stille",Leonora Christina Skov,Bog,voksenmaterialer,biografiske romaner,53787452;54802196,99122399666105763,23428,58
Døden i kurbadet,Anna Grue,Bog,voksenmaterialer,"krimi,kriminalsager",39074184;62795522,,22740,59
Månesøsteren,Lucinda Riley,Bog,voksenmaterialer,slægtsromaner,54189141;47137721;38467212,99123304149205763,22922,60
Mimbo Jimbo bygger et fyrtårn,Jakob Martin Strid,Billedbog,børnematerialer,"dyrefortællinger,sjove bøger",52088437,,22420,61
11%,Maren Uthaug,Bog,voksenmaterialer,"dystopier,fremtidsfortællinger",134136391;135114138,,22270,62
Den utrolige historie om den kæmpestore pære,Jakob Martin Strid,Billedbog,børnematerialer,"eventyrlige fortællinger,sjove bøger,spænding",29269815;134560037,,23434,63
Uglens øje,Sissel-Jo Gazan,Bog,voksenmaterialer,skønlitteratur,62701641,99124247909905763,22045,64
Man skulle nok have været der,Thomas Korsgaard (f. 1995),Bog,voksenmaterialer,skønlitteratur,39055686;39485958;61555145,,22116,65
Forræderens børn,Leif Davidsen,Bog,voksenmaterialer,spænding,48140122,99123361266405763,21795,66
Perlesøsteren,Lucinda Riley,Bog,voksenmaterialer,slægtsromaner,53802001;46615735;38456555,99123646152605763,22182,67
Inden skyerne kommer,Mari Jungstedt,Bog,voksenmaterialer,krimi,38723286,,21545,68
Skyggesøsteren,Lucinda Riley,Bog,voksenmaterialer,slægtsromaner,53280749;54199287;46615867,99122713192905763,22659,69
Stormsøsteren,Lucinda Riley,Bog,voksenmaterialer,slægtsromaner,52970628;54076207;46615751,99122785074805763;99122375732305763;99122859817205763,23151,70
Sallys far slår til igen,Thomas Brunstrøm,Billedbog,børnematerialer,sjove bøger,61431217,,21000,71
Sallys far er sygt pinlig,Thomas Brunstrøm,Billedbog,børnematerialer,sjove bøger,52386950;46718992,,34575,72
Kærlighedsbrevet,Lucinda Riley,Bog,voksenmaterialer,skønlitteratur,54166265;21837261;46589009;24036677,99122859758705763,20615,73
De usynlige,Lone Theils,Bog,voksenmaterialer,krimi,38609734;51212304;52042453;29413053;45460908;25714091;134007745;20114231;06786642;62626534;45865169,99122801312805763;99124085527905763;99124013258705763,25769,74
Sallys fars fede ferie,Thomas Brunstrøm,Billedbog,børnematerialer,"løgnehistorier,sjove bøger",54260180;46938178,,33962,75
Vaniljehuset,Mich Vraa,Bog,voksenmaterialer,historiske romaner,48004156;39145561,99123359464905763,20390,76
Box,"Camilla Läckberg,Henrik Fexeus",Bog,voksenmaterialer,krimi,39517132;39385082,,20298,77
Sallys far bander (- ad helvede til),Thomas Brunstrøm,Billedbog,børnematerialer,"løgnehistorier,sjove bøger",53259235;46712838,99121913414605763,34233,78
Gopler ældes baglæns,Nicklas Brendborg,Bog,"alment niveau,voksenmaterialer",gerontologi,38714554;2624018,,20169,79
Savnet,Lone Theils,Bog,voksenmaterialer,"krimi,politiromaner",46608674;51273710;48919715;53072836;27543820;23991330;51756800;24885429;53599990;54542925,99122582043705763;99123532478605763;99122127607505763,32799,80
Mimbo Jimbo og den lange vinter,Jakob Martin Strid,Billedbog,børnematerialer,"dyrefortællinger,sjove bøger",51363035;51515951,,19967,81
Det samme og noget helt andet,Katrine Marie Guldager,Bog,voksenmaterialer,biografiske romaner,38549545;62767723,,19720,82
Sallys far gider ikke være voksen,Thomas Brunstrøm,Billedbog,børnematerialer,sjove bøger,51923367;46938143,,33787,83
Vindens port,Anne-Cathrine Riebnitzsky,Bog,voksenmaterialer,historiske romaner,61411437;62177136;2706903,,19190,84
Kryb,Julie Hastrup,Bog,voksenmaterialer,skønlitteratur,62600772;29960917,,19402,85
Hvis der skulle komme et menneske forbi,Thomas Korsgaard (f. 1995),Bog,voksenmaterialer,skønlitteratur,52889111;54679556;53383033,99122908676605763;99123520499205763;99122654180305763;99122056517705763,21994,86
Offermageren,Viveca Sten,Bog,voksenmaterialer,krimi,38617222,,19035,87
Sallys far kringler julen,Thomas Brunstrøm,Billedbog,børnematerialer,"løgnehistorier,sjove bøger",47227232,99123305161305763,18967,88
Vitello begynder i skole,Kim Fupz Aakeson,Billedbog,børnematerialer,sjove bøger,47934702,99123331808905763;99123331790705763,18799,89
Når violerne blomstrer,Sarah Jio,Bog,voksenmaterialer,chick lit,48232124;39534045,,18824,90
Spejlmanden,Lars Kepler,Bog,voksenmaterialer,"krimi,politiromaner",48489613,,18752,91
Øjet der ser,Jeffrey Archer,Bog,voksenmaterialer,"kriminalitet,spænding",47678749,,18671,92
Vittu,Iben Mondrup,Bog,voksenmaterialer,skønlitteratur,61860762;134513845,99123932989305763;99124124466505763,18634,93
Undergravet,Lone Theils,Bog,voksenmaterialer,krimi,39160358,,18392,94
Flunkerne i H.C. Andersens univers,"Joaquín Cera,Juan Carlos Ramis",Billedbog,børnematerialer,"eventyr,gå på opdagelse",47303087,,18268,95
Døden mellem linjerne,Elly Griffiths,Bog,voksenmaterialer,krimi,39082144,,18220,96
Gladiator,Jens Henrik Jensen (f. 1963),Bog,voksenmaterialer,spænding,39082713;52387019;28092067;48973868;52474701;45177033;23664798;61561242;48369235,99122032007905763;9920592356605762;99122909420705763,19143,97
Stilleleg,Lone Theils,Bog,voksenmaterialer,krimi,47110173;48328016;28381514,99123419306905763,18597,98
Kvinden i blåt,Elly Griffiths,Bog,voksenmaterialer,krimi,38656996;134541571,,18135,99
Hvis vi ikke taler om det,Leonora Christina Skov,Bog,voksenmaterialer,"biografiske romaner,dannelsesromaner",38762311,,17946,100
Nøglen til mord,Anna Grue,Bog,voksenmaterialer,skønlitteratur,62371455,99122597092805763,17855,101
Søsterklokkerne,Lars Mytting,Bog,voksenmaterialer,"historiske romaner,landliv",46501454;61745904;39138816,9920615945505762;99122030059105763;99122581770705763,17865,102
Alle blomsterne i Paris,Sarah Jio,Bog,voksenmaterialer,skønlitteratur,47342856;47956218,,18686,103
Hurra for Lille Frø,Jakob Martin Strid,Billedbog,børnematerialer,skønlitteratur,52121914,99122226444505763,17658,104
Proxy,Steffen Jacobsen (f. 1956),Bog,voksenmaterialer,krimi,47039274,,17644,105
Den franske fotograf,Natasha Lester,Bog,voksenmaterialer,skønlitteratur,48343317;61458549,99123440465805763;99123890648905763,17843,106
De udstødte,Elly Griffiths,Bog,voksenmaterialer,krimi,47706033;53998860;27754856;28778821;39392623;05437415,99122666517005763;99122785231605763;9920698525005762,18579,107
Årene,Annie Ernaux,Bog,voksenmaterialer,skønlitteratur,38808311;52633184;136077643,99123745670505763,18044,108
Datteren,Anne B. Ragde,Bog,voksenmaterialer,slægtsromaner,47189543;61482059;38990608;46931009;04347412,99122024695305763,29383,109
Det tavse vidne,Elly Griffiths,Bog,voksenmaterialer,krimi,47052319;48356567;05131804,99122054248305763,17278,110
Mørket,Ragnar Jónasson (f. 1976),Bog,voksenmaterialer,krimi,38600443;62371552;51297202;04316150,,17602,111
Hvor den sidste lygte lyser,Mari Jungstedt,Bog,voksenmaterialer,skønlitteratur,62623357,,17137,112
Håbets rejsende,Isabel Allende,Bog,voksenmaterialer,historiske romaner,48819443,,17134,113
Da Mumbo Jumbo blev kæmpestor,Jakob Martin Strid,Billedbog,"folkeskoleniveau,børnematerialer",dyrefortællinger,54472404,,17132,114
Ternet Ninja 2,Anders Matthesen,Bog,børnematerialer,sjove bøger,46718208;39286149,,18630,115
Nådesløse kvinder,Camilla Läckberg,Bog,voksenmaterialer,krimi,48903495,99123538145005763,17126,116
Margrete I,Anne Lise Marstrand-Jørgensen,Bog,voksenmaterialer,"biografiske romaner,historiske romaner",48739881;38621785;22936506,99123520496605763,17116,117
Pitbull,Anne Mette Hancock,Bog,voksenmaterialer,krimi,47472628;47578744;27676707,,17448,118
Kriger uden maske,Hanne-Vibeke Holst,Bog,voksenmaterialer,"biografiske romaner,historiske romaner",134692383,,17046,119
Mellem himmel og hav,Anna Fredriksson (f. 1966),Bog,voksenmaterialer,"landliv,slægtsromaner",46413318;38409093,99122548289005763,17098,120
En dag vil vi grine af det,Thomas Korsgaard (f. 1995),Bog,voksenmaterialer,skønlitteratur,54078714;47137675;61482636,99123305066005763,18082,121
"Vi er det liv, vi lever",Svend Brinkmann,Bog,"alment niveau,voksenmaterialer",biografier af enkelte personer,38810928,,16898,122
De stumme piger,Steffen Jacobsen (f. 1956),Bog,voksenmaterialer,krimi,48488226;61882758,,17049,123
Sallys far får fodboldfeber,Thomas Brunstrøm,Billedbog,børnematerialer,skønlitteratur,62763671,,16786,124
Bob,Helle Helle,Bog,voksenmaterialer,skønlitteratur,38484508;61384723;23568764;54149352;45480194;62767901,,16782,125
Dengang Sallys far var dreng,Thomas Brunstrøm,Billedbog,børnematerialer,"løgnehistorier,sjove bøger",51602099;46718984,,31754,126
Vitello rejser på charterferie,Kim Fupz Aakeson,Billedbog,børnematerialer,skønlitteratur,48218067,,16556,127
Det er de oprørske der svigter,"Lise Ringhof,Erik Valeur",Bog,voksenmaterialer,slægtsromaner,39491923,,16524,128
Yngre med årene,Bente Klarlund Pedersen,Bog,"alment niveau,voksenmaterialer",sundhed i alm.,48739806,,16510,129
Atlas - Historien om Pa Salt,,Bog,voksenmaterialer,,134823658,,16470,130
"Det, du ikke vil vide",Birgithe Kosovic´,Bog,voksenmaterialer,"biografiske romaner,samfundsskildringer",48486835,99123456856305763,16330,131
"Stærk, let og mæt",Anne Hjernøe,Bog,"alment niveau,voksenmaterialer",ernæring,46485157,99122029902605763,16325,132
Flunkerne og fabeldyrene,"Joaquín Cera,Juan Carlos Ramis",Billedbog,børnematerialer,gå på opdagelse,54966563,,16321,133
Lev mere tænk mindre,Pia Callesen,Bog,"alment niveau,voksenmaterialer",affektive sindslidelser. skizofreni,53134599,99122716832405763;99122926341705763,16215,134
Vitello ønsker et ønske,Kim Fupz Aakeson,Billedbog,børnematerialer,skønlitteratur,46955218,,16175,135
Villa Serenas hemmelighed,Domenica De Rosa (f. 1963),Bog,voksenmaterialer,skønlitteratur,48140343;39534053,99123859695705763,16177,136
Vitello redder verden,Kim Fupz Aakeson,Billedbog,børnematerialer,skønlitteratur,53664636,,16128,137
Min mormors gebis,Jakob Martin Strid,Billedbog,børnematerialer,"rim,sjove bøger",26514053;27256430;000116594,99122141731905763,17341,138
Vitello går til pigefødselsdag,Kim Fupz Aakeson,Billedbog,børnematerialer,skønlitteratur,51975707,,16079,139
Den hemmelige arv,Natasha Lester,Bog,voksenmaterialer,historiske romaner,38800329;135952516,99122879314505763,16083,140
Den tavse patient,Alex Michaelides (f. 1977),Bog,voksenmaterialer,"domestic noir,psykologisk thriller",47684056;61745777,99123305619905763,16064,141
Overleverne,Alex Schulman,Bog,voksenmaterialer,skønlitteratur,38618393;39089831;134151323;61896015,99123667309205763;99124251491305763,16261,142
Forsvundet i mørket,Elly Griffiths,Bog,voksenmaterialer,krimi,61395296;135764345;20064919,,16055,143
Et mørke iblandt os,Mari Jungstedt,Bog,voksenmaterialer,"krimi,politiromaner",46685334;47848636,,16017,144
Det der skiller os,Brit Bennett,Bog,voksenmaterialer,slægtsromaner,39147769;61897372,,15941,145
Wimpy Kid. Bind 1,Jeff Kinney,Bog,børnematerialer,"dagbøger,humor",29570434;61777822,,16959,146
Det hele handler ikke om dig,Niels Overgaard (f. 1981-01-22),Bog,"alment niveau,voksenmaterialer",praktisk etik i alm.,47763231,99123331891705763,15770,147
Hajsværdet,Jan Kjær (f. 1971),Billedbog,børnematerialer,fantasy,53652115;54225172,99122547455705763;99121912215405763,22139,148
Flyvebogen - rejsen til monstrenes ø,Jakob Martin Strid,Billedbog,børnematerialer,sjove bøger,47115523;47121108,99123304149405763,15747,149
Glasvinge,Katrine Engberg,Bog,voksenmaterialer,"krimi,politiromaner",53975542;46295668,,16337,150
Om hundrede år,Anna Elisabeth Jessen,Bog,voksenmaterialer,slægtsromaner,46039696;46472136;46425812,,15719,151
Da Lille Madsens hus blæste væk,Jakob Martin Strid,Billedbog,børnematerialer,skønlitteratur,27367992;29994706;29765383,99122932341105763,15916,152
Villads fra Valby som dyrepasser,Anne Sofie Hammer (f. 1972-02-05),Billedbog,børnematerialer,sjove bøger,54170238,,15527,153
Smaragdsliberen,Anne-Cathrine Riebnitzsky,Bog,voksenmaterialer,skønlitteratur,54884230,99122176180405763,15509,154
Vitello passer Mor,Kim Fupz Aakeson,Billedbog,børnematerialer,skønlitteratur,29572232,,15400,155
Højsangen fra Palermovej,Annette Bjergfeldt,Bog,voksenmaterialer,slægtsromaner,48144853,,15329,156
Den eventyrlige rejse,Jan Kjær (f. 1971),Billedbog,børnematerialer,fantasy,52045851;29212872,,15352,157
Flunkernes Danmarkshistorie,"Joaquín Cera,Juan Carlos Ramis",Billedbog,børnematerialer,gå på opdagelse,53284949,,15291,158
Kniv,Jo Nesbø,Bog,voksenmaterialer,krimi,46510534;46632621;62247576;000134822;38519395,,15533,159
Hvor lyset er,Malene Ravn (f. 1971),Bog,voksenmaterialer,biografiske romaner,48232841;48651933;48486509,99123419309105763,15277,160
Halvt i himlen,Lone Hørslev,Bog,voksenmaterialer,historiske romaner,39263084;61483446,99123812127205763,15191,161
Villads fra Valby taber en tand,Anne Sofie Hammer (f. 1972-02-05),Billedbog,børnematerialer,sjove bøger,53428975,,15168,162
Syersken fra Paris,Fiona Valpy,Bog,voksenmaterialer,slægtsromaner,38590014,,15167,163
Soldier Blue,"Lotte Hammer,Søren Hammer",Bog,voksenmaterialer,"krimi,politiromaner",47186757,99122550327405763,15142,164
Aldrig,Ken Follett,Bog,voksenmaterialer,spænding,39615584,,15038,165
Aftentid og morgengry,Ken Follett,Bog,voksenmaterialer,historiske romaner,48022456;48780725,,15006,166
Find Holger nu,Martin Handford,Billedbog,børnematerialer,gå på opdagelse,52815290,,14991,167
Stemmer fra graven,Elly Griffiths,Bog,voksenmaterialer,krimi,48763987,,14959,168
Brombærvinter,Sarah Jio,Bog,voksenmaterialer,spænding,48727204;62163534,99123832534705763,14994,169
Engletræet,Lucinda Riley,Bog,voksenmaterialer,skønlitteratur,52384842;53299253,99122333658405763,15218,170
Viljetyven. Bog 1,Jan Kjær (f. 1971),Bog,børnematerialer,"fantasy,spænding",52666430,,14795,171
Kastanjemanden,Søren Sveistrup,Bog,voksenmaterialer,"krimi,politiromaner",54167369;47137632;61807969;45965899,99122516791405763;99123304146505763;99122355512705763;99121947865705763,15240,172
"Pige, 1983",Linn Ullmann,Bog,voksenmaterialer,biografiske romaner,134005815;135943959,99124187311305763;9921196634105762,14718,173
Voksnes løgnagtige liv,Elena Ferrante,Bog,voksenmaterialer,udviklingsromaner,48630111,,14676,174
Strik,Lærke Bagger,Bog,"alment niveau,voksenmaterialer",strikning,39490358;38427504;54219695;51972716;24939324;24950697;46499522;25501284;43983229,99123646245605763;99123860465505763;99122526136705763,23156,175
Det vågne hjerte,Merete Pryds Helle,Bog,voksenmaterialer,skønlitteratur,62108274;29574391;136203215,99122534507005763,14830,176
Et rigtigt liv,Katrine Marie Guldager,Bog,voksenmaterialer,dannelsesromaner,46520866;38300873,99122582019305763,14655,177
Ædru,Jesper Stein,Bog,voksenmaterialer,skønlitteratur,62108347,99124031240905763,14645,178
Skyggedalen,Viveca Sten,Bog,voksenmaterialer,skønlitteratur,62005424;136139746,,14622,179
Bare numser,Annika Leone,Billedbog,børnematerialer,skønlitteratur,47498694;22852906,99122631767905763,14621,180
Villa Havbrise,Caroline Säfstrand (f. 1972),Bog,voksenmaterialer,skønlitteratur,48343198;61458514,99123440274305763,14610,181
Vitello gør en god gerning,Kim Fupz Aakeson,Billedbog,børnematerialer,skønlitteratur,50507009,,14509,182
Vitello tigger en masse slik,Kim Fupz Aakeson,Billedbog,børnematerialer,skønlitteratur,51378040,,14477,183
Et hav af minder,Fiona Valpy,Bog,voksenmaterialer,skønlitteratur,48198376;61744827,,14467,184
Kærlighed,,Bog,"alment niveau,voksenmaterialer",emotionspsykologi,48903576;50837084;25112911;06925650;50798542;134056576;29835454;05986575;21607347;22437143;29098670;25415876;50643441;20643897;26996112;05514908;22042416;25110978;06457010;20366664;05810957;05591201;28771541;40157891,99122625219405763;99124197027405763;99122856255805763;99122869617505763;99122356273105763;99122501558305763,16146,185
Hende der må dø,David Lagercrantz,Bog,voksenmaterialer,krimi,46632451,99123304110505763;99123652404605763,14372,186
Urmagerens datter,Kate Morton,Bog,voksenmaterialer,landliv,46232917,,14331,187
Mytomanen,Sofie Sarenbrant,Bog,voksenmaterialer,"femikrimi,krimi",48839843;47866219,,14350,188
Stormfald,Tove Alsterdal,Bog,voksenmaterialer,"krimi,politiromaner",38972618;134320265,,14236,189
Find Holger i eventyrland,Martin Handford,Billedbog,børnematerialer,gå på opdagelse,46132718,,14213,190
I Guds rige,Anne-Grethe Bjarup Riis,Bog,voksenmaterialer,biografiske romaner,48487734,99123460815005763,14190,191
Find Holger - den eventyrlige rejse,Martin Handford,Billedbog,børnematerialer,gå på opdagelse,52815312,,14124,192
Grøn aftensmad,Ann-Christine Hellerup Brandt,Bog,"alment niveau,voksenmaterialer",råkost. vegetarisk mad,48926533,99123538266105763,14070,193
Her var en mand,Jeffrey Archer,Bog,voksenmaterialer,slægtsromaner,46499581,99122528895605763,14058,194
Villads fra Valby har fødselsdag,Anne Sofie Hammer (f. 1972-02-05),Billedbog,børnematerialer,sjove bøger,46972996,,14014,195
Aftensmad,Ann-Christine Hellerup Brandt,Bog,"alment niveau,voksenmaterialer",madlavning,47039177;52944384;25468848;26521904;24903818,99123313463805763;99122314271605763,14782,196
Hemmeligt begravet,Viveca Sten,Bog,voksenmaterialer,krimi,47819873;61744754,,13982,197
Violeta,Isabel Allende,Bog,voksenmaterialer,skønlitteratur,62355026;61689605;61687246,99124746036505763,14328,198
Villads fra Valbys uhyggelige halloween,Anne Sofie Hammer (f. 1972-02-05),Billedbog,børnematerialer,sjove bøger,52616417,,13959,199
Fodbold med flunkerne,"Joaquín Cera,Juan Carlos Ramis",Billedbog,børnematerialer,gå på opdagelse,45937925;26247888;27759807,,15058,200
Gurli Gris og den magiske enhjørning,,Billedbog,børnematerialer,skønlitteratur,46369998,,13878,201
Den ugifte hertug,Julia Quinn (f. 1970),Bog,voksenmaterialer,historiske romaner,48008283;61372628,99123356355605763,13875,202
Villads fra Valby passer sig selv,Anne Sofie Hammer (f. 1972-02-05),Billedbog,børnematerialer,sjove bøger,53203744,,13845,203
Manta og skovpiraterne,Jan Kjær (f. 1971),Billedbog,børnematerialer,fantasy,51772768,99122665069605763,13809,204
Tour de chambre,Tine Høeg (f. 1985),Bog,voksenmaterialer,skønlitteratur,48259936;48676081,,13773,205
Skammekrogen,Sofie Sarenbrant,Bog,voksenmaterialer,"femikrimi,krimi",47070473;48344143;28043031,,13771,206
Villads fra Valby spiller fodbold,Anne Sofie Hammer (f. 1972-02-05),Billedbog,børnematerialer,sjove bøger,48024181,,13676,207
Torsdagsmordklubben,Richard Osman,Bog,voksenmaterialer,"humor,krimi",39406233;62412224,,13631,208
Et mere enkelt liv,Anna Fredriksson (f. 1966),Bog,voksenmaterialer,slægtsromaner,47678617;61904808,,13608,209
Jan Kjærs Nomerne - skønhedsdrikken,Jan Kjær (f. 1971),Billedbog,børnematerialer,fantasy,47892295,99123355710305763,13578,210
I ruiner,Morten Pape (f. 1986),Bog,voksenmaterialer,samfundsskildringer,61395024,99124108638405763,13393,211
21 nye helbredende dage med antiinflammatorisk kost,"Louise Bruun (f. 1975),Jerk W. Langer",Bog,"alment niveau,voksenmaterialer",diætmadlavning,46039319,99122522864805763,13368,212
Den mørke engel,Elly Griffiths,Bog,voksenmaterialer,skønlitteratur,62274042;28824130;29391696;50995836,99121915597305763,16727,213
Skyggejægeren,Camilla Grebe,Bog,voksenmaterialer,"krimi,politiromaner",47684315;38810618,99123331831605763,13776,214
"Skønne verden, hvor er du",Sally Rooney (f. 1991),Bog,voksenmaterialer,skønlitteratur,39082098,,13284,215
Den tredje søster,Sara Blædel,Bog,voksenmaterialer,spænding,54945116;23215799,,13281,216
Brænd alle mine breve,Alex Schulman,Bog,voksenmaterialer,skønlitteratur,62463015;134453044;62854553,99124078477505763;9921118529405762,13558,217
Vitello bygger en afskyelig snemand,Kim Fupz Aakeson,Billedbog,børnematerialer,skønlitteratur,52148898,,13268,218
Villads fra Valby køber slik,Anne Sofie Hammer (f. 1972-02-05),Billedbog,børnematerialer,sjove bøger,52401569,,13267,219
