faust_number,isbn,book_title,book_author,isbn_scraped,top10k
38600443,,Mørket,Ragnar Jónasson (f. 1976),,151
38823957,9788792769954.0,"Vi havde en fest på arbejdet, men så kom Preben -",Rikke Østergaard (f. 1976),9788771163506,152
62623357,,Hvor den sidste lygte lyser,Mari Jungstedt,,153
48819443,,Håbets rejsende,Isabel Allende,9788740070378,154
54472404,,Da Mumbo Jumbo blev kæmpestor,Jakob Martin Strid,,155
46718208,,Ternet Ninja 2,Anders Matthesen,,156
48903495,,Nådesløse kvinder,Camilla Läckberg,9788772390109,157
48739881,,Margrete I,Anne Lise Marstrand-Jørgensen,9788702295504,158
47472628,,Pitbull,Anne Mette Hancock,9788711999721,159
134692383,,Kriger uden maske,Hanne-Vibeke Holst,9788702293548,160
53310729,9788711757338.0,Godnathistorier. 1,,9788740085815,161
46413318,,Mellem himmel og hav,Anna Fredriksson (f. 1966),9788763865432,162
54078714,,En dag vil vi grine af det,Thomas Korsgaard (f. 1995),,163
38810928,,"Vi er det liv, vi lever",Svend Brinkmann,,164
48488226,,De stumme piger,Steffen Jacobsen (f. 1956),,165
29745994,9788711387795.0,Drengen i den stribede pyjamas,John Boyne,9788711902073,166
62763671,,Sallys far får fodboldfeber,Thomas Brunstrøm,,167
38484508,,Bob,Helle Helle,9788743400905,168
51602099,,Dengang Sallys far var dreng,Thomas Brunstrøm,,170
48218067,,Vitello rejser på charterferie,Kim Fupz Aakeson,9788702297119,171
51050452,9788763835879.0,Djævelens lærling,Kenneth Bøgh Andersen,9788763802505,172
39491923,,Det er de oprørske der svigter,"Lise Ringhof,Erik Valeur",,173
48739806,,Yngre med årene,Bente Klarlund Pedersen,9788702300147,174
134823658,,Atlas - Historien om Pa Salt,,,175
48486835,,"Det, du ikke vil vide",Birgithe Kosovic´,9788740049787,176
46485157,,"Stærk, let og mæt",Anne Hjernøe,9788740046526,177
54966563,,Flunkerne og fabeldyrene,"Joaquín Cera,Juan Carlos Ramis",,178
51711610,9788702133769.0,Brødrene Løvehjerte,Astrid Lindgren,,179
53134599,,Lev mere tænk mindre,Pia Callesen,9788740035421,180
46955218,,Vitello ønsker et ønske,Kim Fupz Aakeson,,181
48140343,,Villa Serenas hemmelighed,Domenica De Rosa (f. 1963),9788712060031,182
53664636,,Vitello redder verden,Kim Fupz Aakeson,9788702245301,183
26514053,,Min mormors gebis,Jakob Martin Strid,,184
51975707,,Vitello går til pigefødselsdag,Kim Fupz Aakeson,,186
28120850,9788702090062.0,Alle vi børn i Bulderby,Astrid Lindgren,9788702170252,187
38800329,,Den hemmelige arv,Natasha Lester,,188
47684056,,Den tavse patient,Alex Michaelides (f. 1977),9788740069440,189
38618393,,Overleverne,Alex Schulman,9788711991114,190
48921582,9788758841823.0,En storm af kugler,Michael Kamp (f. 1974),9788758838120,191
61395296,,Forsvundet i mørket,Elly Griffiths,,192
27302971,9788702048087.0,Hodja fra Pjort,Ole Lund Kirkegaard,,194
46685334,,Et mørke iblandt os,Mari Jungstedt,9788770367820,195
46404785,9788740043303.0,Sigurds samlede godnathistorier,Sigurd Barrett,,196
39147769,,Det der skiller os,Brit Bennett,9788702313444,197
29570434,,Wimpy Kid. Bind 1,Jeff Kinney,9788702277135,198
53941079,9788793618657.0,Omgivet af idioter,Thomas Erikson (f. 1965),,199
29302863,9788702125061.0,Gummi-Tarzan,Ole Lund Kirkegaard,,200
47763231,,Det hele handler ikke om dig,Niels Overgaard (f. 1981-01-22),,201
53652115,,Hajsværdet,Jan Kjær (f. 1971),9788793231474,202
46208889,9788702276848.0,Tag gaden tilbage,"Sarah Engell,Sanne Munk Jensen",9788702262957,203
47115523,,Flyvebogen - rejsen til monstrenes ø,Jakob Martin Strid,,204
53975542,,Glasvinge,Katrine Engberg,,205
46039696,,Om hundrede år,Anna Elisabeth Jessen,,206
52297265,9788764473889.0,After. 1,Anna Todd,9788770363396,207
27367992,,Da Lille Madsens hus blæste væk,Jakob Martin Strid,,208
47159288,9788726270266.0,Naja Münster - den store fuglefest,Line Kyed Knudsen,9788711914991,209
55131562,9788702273601.0,Vitello,Kim Fupz Aakeson,,210
54170238,,Villads fra Valby som dyrepasser,Anne Sofie Hammer (f. 1972-02-05),,211
54884230,,Smaragdsliberen,Anne-Cathrine Riebnitzsky,9788711566046,213
29572232,,Vitello passer Mor,Kim Fupz Aakeson,,215
53462197,9788758828237.0,Klovn,Michael Kamp (f. 1974),,217
53681638,9788711863909.0,De 100 mest fantastiske fortidsdyr,Sebastian Klein,,218
48144853,,Højsangen fra Palermovej,Annette Bjergfeldt,,219
52045851,,Den eventyrlige rejse,Jan Kjær (f. 1971),9788793231283,220
53284949,,Flunkernes Danmarkshistorie,"Joaquín Cera,Juan Carlos Ramis",,221
46510534,,Kniv,Jo Nesbø,9788770073851,222
54651813,9788726069433.0,6 af verdens farligste dyr,Sebastian Klein,9788726069433,223
48232841,,Hvor lyset er,Malene Ravn (f. 1971),9788702296457,224
39263084,,Halvt i himlen,Lone Hørslev,9788740079623,225
53428975,,Villads fra Valby taber en tand,Anne Sofie Hammer (f. 1972-02-05),9788763852685,227
38590014,,Syersken fra Paris,Fiona Valpy,9788763864848,228
48039065,9788726148718.0,Sygeplejersken,Kristian Corfixen,9788727011059,229
47186757,,Soldier Blue,"Lotte Hammer,Søren Hammer",,230
53970621,9788763838245.0,Villads fra Valby holder jul,Anne Sofie Hammer (f. 1972-02-05),,231
39615584,,Aldrig,Ken Follett,9788702326468,232
50665879,9788702137859.0,Jeg er William,Kim Fupz Aakeson,9788702137842,233
48022456,,Aftentid og morgengry,Ken Follett,,234
52815290,,Find Holger nu,Martin Handford,9788771655292,235
48763987,,Stemmer fra graven,Elly Griffiths,,236
48727204,,Brombærvinter,Sarah Jio,,238
52384842,,Engletræet,Lucinda Riley,,239
52666430,,Viljetyven. Bog 1,Jan Kjær (f. 1971),9788793231627,240
54167369,,Kastanjemanden,Søren Sveistrup,9788740074338,241
134005815,,"Pige, 1983",Linn Ullmann,,242
48630111,,Voksnes løgnagtige liv,Elena Ferrante,9788740060683,243
28645406,9788702112023.0,Folk og røvere i Kardemomme by,Thorbjørn Egner,9788702181111,244
39490358,,Strik,Lærke Bagger,,245
62108274,,Det vågne hjerte,Merete Pryds Helle,9788711988534,246
46520866,,Et rigtigt liv,Katrine Marie Guldager,9788702262889,247
62108347,,Ædru,Jesper Stein,9788740075526,248
62005424,,Skyggedalen,Viveca Sten,,249
47498694,,Bare numser,Annika Leone,9788711919118,250
48343198,,Villa Havbrise,Caroline Säfstrand (f. 1972),,251
50507009,,Vitello gør en god gerning,Kim Fupz Aakeson,,253
51378040,,Vitello tigger en masse slik,Kim Fupz Aakeson,,254
48198376,,Et hav af minder,Fiona Valpy,9788763864824,255
48903576,,Kærlighed,,,256
46632451,,Hende der må dø,David Lagercrantz,9788770073868,257
52090040,9788763843478.0,Villads fra Valby på sommerferie,Anne Sofie Hammer (f. 1972-02-05),,258
46232917,,Urmagerens datter,Kate Morton,9788763865975,260
38835718,9788726845068.0,Ballet og ballade på slottet,Line Kyed Knudsen,9788711993446,261
46807464,9788763861960.0,Villads fra Valby får nye ideer,Anne Sofie Hammer (f. 1972-02-05),,262
28836082,9788702083156.0,Vitello går med kniv - og andre historier,Kim Fupz Aakeson,9788702064919,264
48839843,,Mytomanen,Sofie Sarenbrant,9788772384450,265
38972618,,Stormfald,Tove Alsterdal,,266
53749097,9788771657098.0,Traktoren der så gerne ville sove,Carl-Johan Forssén Ehrlin,,267
46132718,,Find Holger i eventyrland,Martin Handford,,268
48487734,,I Guds rige,Anne-Grethe Bjarup Riis,9788740019995,269
52815312,,Find Holger - den eventyrlige rejse,Martin Handford,9788771655995,271
48926533,,Grøn aftensmad,Ann-Christine Hellerup Brandt,,272
46499581,,Her var en mand,Jeffrey Archer,,274
46972996,,Villads fra Valby har fødselsdag,Anne Sofie Hammer (f. 1972-02-05),9788763861410,277
47039177,,Aftensmad,Ann-Christine Hellerup Brandt,,278
47819873,,Hemmeligt begravet,Viveca Sten,9788772007489,279
62355026,,Violeta,Isabel Allende,9788740041613_280,280
52616417,,Villads fra Valbys uhyggelige halloween,Anne Sofie Hammer (f. 1972-02-05),9788763846950,281
45937925,,Fodbold med flunkerne,"Joaquín Cera,Juan Carlos Ramis",,283
46369998,,Gurli Gris og den magiske enhjørning,,,284
48008283,,Den ugifte hertug,Julia Quinn (f. 1970),9788770367868,285
53203744,,Villads fra Valby passer sig selv,Anne Sofie Hammer (f. 1972-02-05),9788763851367_286,286
51772768,,Manta og skovpiraterne,Jan Kjær (f. 1971),9788793231245_288,288
48259936,,Tour de chambre,Tine Høeg (f. 1985),9788743409328,289
47070473,,Skammekrogen,Sofie Sarenbrant,9788770368070_290,290
48024181,,Villads fra Valby spiller fodbold,Anne Sofie Hammer (f. 1972-02-05),9788763864350,291
39406233,,Torsdagsmordklubben,Richard Osman,9788702318135,293
47678617,,Et mere enkelt liv,Anna Fredriksson (f. 1966),9788702310962_294,294
47892295,,Jan Kjærs Nomerne - skønhedsdrikken,Jan Kjær (f. 1971),,295
61395024,,I ruiner,Morten Pape (f. 1986),9788740054859,297
46512561,9788726137262.0,"Se mor, jeg danser",Puk Elgård,9788727030890,298
46039319,,21 nye helbredende dage med antiinflammatorisk kost,"Louise Bruun (f. 1975),Jerk W. Langer",9788740046595,299
39305186,9788726924756.0,Naja Münster,Line Kyed Knudsen,9788711983478_300,300
62274042,,Den mørke engel,Elly Griffiths,9788712074700_301,301
27302777,9788702048056.0,Lille Virgil,Ole Lund Kirkegaard,9788702153552_302,302
39036657,9788702314939.0,En tyv i natten,Sara Ejersbo,9788702314878,303
47684315,,Skyggejægeren,Camilla Grebe,9788711998984,304
39082098,,"Skønne verden, hvor er du",Sally Rooney (f. 1991),9788743404156,306
54945116,,Den tredje søster,Sara Blædel,9788770365161,307
62463015,,Brænd alle mine breve,Alex Schulman,9788727018812,308
52148898,,Vitello bygger en afskyelig snemand,Kim Fupz Aakeson,9788702181807_309,309
52401569,,Villads fra Valby køber slik,Anne Sofie Hammer (f. 1972-02-05),9788763843232_310,310
62186925,,Nøjsomheden,Stine Askov,9788702349238,311
46883551,,En helt normal familie,Mattias Edvardsson (f. 1977),9788770369398,312
38888129,,Mormor dansede i regnen,Trude Teige,9788772390123,313
46470222,,Normale mennesker,Sally Rooney (f. 1991),9788702307627,314
52779189,9788711719978.0,Dybet,Michael Katz Krefeld,9788711988268_315,315
29630364,,Mimbo Jimbo og de store elefanter,Jakob Martin Strid,9788702222166,316
52304385,,Flunkerne hos dinosaurerne,"Joaquín Cera,Juan Carlos Ramis",,317
47763177,,De heldige,Georgia Hunter,9788740076684,318
62106972,,Huset på Rivieraen,Natasha Lester,9788772390666,319
38430645,,Familien Winther,Katrine Wessel,9788740068788,320
39344467,,En aften i august,Victoria Hislop,9788771164350,321
54627947,9788772008523.0,Bubbi - bliver f****** stjerne,"Morten Münster (f. 1997),Merlin P. Mann",9788772007168,322
46658671,,De forsvundne roser,Martha Hall Kelly,9788740070699,323
54131623,,På sporet af flunkerne for fuld musik,"Joaquín Cera,Juan Carlos Ramis",,324
47678706,,Vejen til Warszawa,"Lotte Hammer,Søren Hammer",9788771918144,325
46171993,,Oplyst,Tara Westover (f. 1986),9788727021263,326
46862589,,Hvad er et menneske?,Svend Brinkmann,9788702265255,327
48489427,,Enden på historien,Jan Guillou,9788770536417,328
54209983,,Find Holger,Martin Handford,,330
29308020,9788771052237.0,Vildheks. 1,Lene Kaaberbøl,9788771052909,331
38924575,,Den franske villa,Jennifer Bohnet,9788702304336,332
48639585,,På date med en morder,Anna Ekberg,9788740070729,333
47033748,,Fruen,Malene Lei Raben,9788702287196,334
46221974,,Sort perle,Liza Marklund,9788702302189,335
53399169,,Jytte fra Marketing er desværre gået for i dag,Morten Sehested Münster (f. 1980),,337
28280971,,Hvem har pruttet i Lasse-Leifs bukser?,Mette Finderup,,338
38856049,,Mand uden ansigt,Dennis Jürgensen,9788740065831,340
53209238,9788711796580.0,Det ender med os,Colleen Hoover,9788727026466,341
53753795,,Dødevaskeren,Sara Omar,9788740053258,342
47864291,9788726270228.0,Naja Münster - en temmelig tosset telttur,Line Kyed Knudsen,9788711915059_343,343
54933274,,Villads fra Valby skyder året i gang,Anne Sofie Hammer (f. 1972-02-05),9788763858878_344,344
46249003,,Døden på museet,Elly Griffiths,9788712056928_345,345
46568834,,To uger i Toscana,Domenica De Rosa (f. 1963),9788712060659_346,346
135229962,,Gøgeungen,Camilla Läckberg,9788775937813,348
135404977,,Bødlernes daggry,Michael Katz Krefeld,9788711996805_349,349
48595219,,Blomsterdalen,Niviaq Korneliussen,9788702278385,351
47588812,,Fejltrin,Maria Adolfsson,9788772384443,352
134575107,,Netspinderen,Lars Kepler,9788702284577_353,353
52647738,,Ternet Ninja,Anders Matthesen,9788763840958_354,354
48263089,9788726440621.0,Naja Münster - det store snemonster,Line Kyed Knudsen,9788711914991_357,357
52423783,,Flunkerne i Danmark,"Joaquín Cera,Juan Carlos Ramis",,358
52286999,,Dragesværdet,Jan Kjær (f. 1971),9788793231559_359,359
135280178,,De bedste familier,Kim Blæsbjerg,9788743403258_360,360
53130283,,Hvor der er fugle,Maren Uthaug,9788711918500_361,361
39472791,,Snesmil,"Lotte Hammer,Søren Hammer",9788772383033_362,362
39617706,,Englevagt,Sofie Sarenbrant,9788775932283_363,363
38273302,,Biavlerens løfte,Fiona Valpy,9788763864831_365,365
52652383,,Lille Frø bygger rumraket,Jakob Martin Strid,9788702211979_366,366
47311918,9788726084160.0,Min historie,Michelle Obama,9788727021942,367
47109981,,Den sidste enke,Karin Slaughter,9788771917437,368
53223281,,Blodmåne,Katrine Engberg,9788772003849_369,369
53817823,,Pigen under jorden,Elly Griffiths,9788712058359_370,370
29088896,9788711409046.0,Lyntyven,Rick Riordan,,371
46152034,,Villads fra Valby lærer klokken,Anne Sofie Hammer (f. 1972-02-05),9788763858885_372,372
39262436,,Den japanske elsker,Isabel Allende,9788740064704,373
62932988,,Sange om stilhed og hjem,Anne Lise Marstrand-Jørgensen,9788702340068_374,374
38959573,,Boghandlen ved Themsens bred,Frida Skybäck (f. 1980),9788763866002,375
47640911,9788702294279.0,Den magiske sommer,Sara Ejersbo,9788702294262,376
38986503,,Den inderste kerne,Lotte Kaa Andersen,9788743405573_377,377
52484804,9788711444771.0,Pigerne fra Englandsbåden,Lone Theils,9788711512692_379,379
51067959,9788702162929.0,Dig og mig ved daggry,"Sanne Munk Jensen,Glenn Ringtved",9788702183634,380
48266266,,Sjælemaleren,Ildefonso Falcones,9788702326796,381
38276255,,Arabica,Puk Damsgård Andersen,,382
28487541,9788702106138.0,Mere om os børn i Bulderby,Astrid Lindgren,,383
38983237,,Øen,Ragnar Jónasson (f. 1976),9788712073475,384
54825455,,Blodspor,Julie Hastrup,9788740060034_385,385
48047769,,"Ligevægt - stærk, let og mæt",Anne Hjernøe,9788740060331,386
52401399,,Villads fra Valby er indbrudstyv,Anne Sofie Hammer (f. 1972-02-05),9788763844178_387,387
52467764,9788711655733.0,Forbandede kærlighed,Colleen Hoover,9788711542200,388
52668883,,Trikozappen,Jan Kjær (f. 1971),9788793231382_389,389
134495626,,Mosen,Liza Marklund,9788772387253_390,390
50520730,,Mimbo Jimbo besøger en ven,Jakob Martin Strid,9788702134001,391
135176877,,Birgithe med th,Katrine Marie Guldager,9788702389951_392,392
54129653,,Løgnens hus,Elly Griffiths,9788712057987_393,393
39011212,,Shuggie Bain,Douglas Stuart (f. 1976-05-31),9788740079647,394
38528858,,Natsangeren,Johanna Mo (f. 1976),9788727011547,395
53660118,,"Drengen der fik ting i hovedet - ""de mystiske øjne""",Kasper Hoff,9788702285574,396
46553772,,Til min søster,Dy Plambeck,9788702278262,397
47109736,,Den anden dødssynd,Jan Guillou,9788770073950,398
48321976,,Alt det jeg aldrig fortalte dig,Celeste Ng (f. 1980),9788740048193,399
39471736,,Store Kongensgade 23,Søren Ulrik Thomsen (f. 1956),9788702281033_400,400
51939239,,Pigen fra Napoli,Lucinda Riley,9788763846516_401,401
134877804,,Blodmånen,Jo Nesbø,9788770077408_402,402
52668859,,Nomernes vilde væddeløb,Jan Kjær (f. 1971),9788793231375_403,403
53322379,,Derfor forelsker du dig aldrig i den forkerte,Jytte Vikkelsøe,9788702238563,404
46992334,,Dødfunden,Gretelise Holm (f. 1946),9788771916980,405
39163047,,Den sidste kamelia,Sarah Jio,9788712073451_406,406
48588727,,Et særligt sted,Marcia Willett,9788763865357,410
29570442,,Wimpy Kid. Bind 2,Jeff Kinney,9788702277135_411,411
28720130,9788702114553.0,Vi har det dejligt i Bulderby,Astrid Lindgren,,412
46536827,,Mørkeland,Niels Krause-Kjær,9788711986462,413
48039111,9788726084207.0,Fårking gravid,Sofie Linde (f. 1989),9788711998724,414
52090415,9788711324950.0,Savnet,Michael Katz Krefeld,9788711987988_415,415
62005831,,De fire vinde,Kristin Hannah,9788702330465,417
47683866,,Familiens synder,Cara Hunter,9788712064572_418,418
28939876,,Mimbo Jimbo laver kunst,Jakob Martin Strid,9788702113952,419
62485124,,Den der dræbte helvedes engle,Jan Guillou,9788770076081_420,420
48671586,,For barnets bedste,"Line Holm,Stine Bolther",9788740069693_421,421
53530885,,I ly for regnen,Jojo Moyes,,422
54167830,,Blomstrende syrener,Martha Hall Kelly,9788740054071_423,423
48925758,,Fandens forår,Niels Krause-Kjær,9788727003078_424,424
62825553,,Kult,"Camilla Läckberg,Henrik Fexeus",9788772383088_425,425
38915894,,Alle lyver,Camilla Grebe,9788727014708_426,426
46506294,,Min mor var besat,Peter Øvig Knudsen,9788702281453_427,427
46608755,,Huset i Buckley Street,Marcia Willett,9788763861007,428
